v1,v3,v4,v5,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v22,v23,v24,v25
14323,2,1,-0.5,-2,0.5,-0.5,1,0.5,2,565000,0.5,261847,-0.5,1,534712,561448,486588,19814600,49,167,1
14324,2,2,-0.5,-2,0.5,-0.5,1,1,2,1870000,1,83102,-0.5,1,1719395,1874141,1564649,19687852,1,167,1
14325,2,0.5,-0.5,-2,0.5,-0.5,1,0.5,2,575000,0.5,253950,-0.5,1,525640,562435,483589,19787209,46,61,0
14326,2,0.5,-0.5,-2,0.5,-0.5,1,0.5,2,449000,0.5,290000,-0.5,1,416302,449606,395487,19814078,56,167,1
14327,2,2,-0.5,-2,0.5,-0.5,1,0.5,2,1300000,0.5,1095000,-0.5,1,1306665,1398132,1189065,19796076,15,167,1
14328,2,1.5,-0.5,-2,0.5,-0.5,1,1.5,2,1260000,1.5,948600,-0.5,1,1313909,1484717,1195657,19808306,16,167,0
14329,2,0.5,-0.5,-2,0.5,-0.5,1,1,2,639000,1,306836,-0.5,1,621898,659212,584584,19588716,73,167,1
14330,2,0.5,-0.5,-2,0.5,-0.5,1,0.5,2,699000,0.5,53112,-0.5,1,665405,718637,632135,19675602,54,167,1
14331,2,0.5,-0.5,-2,0.5,-0.5,1,1,2,680000,1,505000,-0.5,1,667583,714314,627528,19832808,46,167,1
14332,2,0.5,-0.5,-2,0.5,-0.5,1,0.5,2,655000,0.5,504000,-0.5,1,682448,777991,634677,19673966,58,167,1
14333,2,0.5,-0.5,-2,0.5,-0.5,1,-1.5,2,380000,-1.5,239445,0.5,1,376864,403244,354252,79846072,26,167,1
14334,2,0.5,-0.5,-2,0.5,-0.5,1,0.5,2,550000,0.5,464982,-0.5,1,576904,634594,536521,19485900,44,167,1
14335,2,-0.5,-0.5,-2,0.5,-0.5,1,-0.5,2,380000,-0.5,389334,-0.5,1,505587,530866,470196,19576173,114,1987,1
14336,2,1.5,-0.5,-2,0.5,-0.5,1,-1.5,2,569000,-1.5,408000,0.5,1,547600,591408,509268,19774763,30,167,0
14337,2,1,-0.5,-2,0.5,-0.5,1,1,2,775000,1,343567,-0.5,1,760178,828594,722169,19788816,58,167,1
14338,2,1,-0.5,-2,0.5,-0.5,1,0.5,2,830000,0.5,76291,-0.5,1,780777,843239,718315,19696816,47,167,1
14339,2,1,-0.5,-2,0.5,-0.5,1,0.5,2,1162000,0.5,439094,-0.5,1,1001130,1091232,891006,19646933,58,167,0
14340,2,0.5,-0.5,-2,0.5,-0.5,1,0.5,2,512000,0.5,315000,-0.5,1,492155,521684,457704,19741083,47,167,1
14341,2,0.5,-0.5,-2,0.5,-0.5,1,-2,2,390000,-2,225000,0.5,1,348408,369312,327504,19760372,27,2281,1
14342,2,0.5,-0.5,-2,0.5,-0.5,1,0.5,2,625000,0.5,176635,-0.5,1,635941,667738,597785,19823739,45,167,1
14343,2,0.5,-0.5,-2,0.5,-0.5,1,1,2,842000,1,95611,-0.5,1,852506,937757,784306,19763006,49,168,1
14344,2,1.5,-0.5,-2,0.5,-0.5,1,0.5,2,1035000,0.5,752726,-0.5,1,1000927,1101020,920853,19587048,51,168,1
14345,2,1.5,-0.5,-2,0.5,-0.5,1,0.5,2,690000,0.5,87697,-0.5,1,692748,748168,651183,19821539,48,168,0
14346,2,0.5,-0.5,-2,0.5,-0.5,1,0.5,2,545000,0.5,361000,-0.5,1,508800,559680,468096,19740194,45,168,1
14347,2,1,-0.5,-2,0.5,-0.5,1,-0.5,2,630000,-0.5,540000,-0.5,1,643977,676176,605338,19832300,20,168,1
14348,2,0.5,-0.5,-2,0.5,-0.5,1,0.5,2,595000,0.5,191821,-0.5,1,547078,590844,519724,19793041,38,168,1
14349,2,1,-0.5,-2,0.5,-0.5,1,0.5,2,1015000,0.5,143801,-0.5,1,988499,1077464,899534,19835392,49,168,1
14350,2,0.5,-0.5,-2,0.5,-0.5,1,0.5,2,540000,0.5,410000,-0.5,1,609490,646059,572921,19789277,42,168,1
14351,2,1,-0.5,-2,0.5,-0.5,1,1,2,999000,1,145160,-0.5,1,1021943,1113918,909529,19591085,59,168,1
14352,2,1.5,-0.5,-2,0.5,-0.5,1,0.5,2,1199000,0.5,965000,-0.5,1,1173230,1255356,1102836,19687132,73,168,1
14353,2,1.5,-0.5,-2,0.5,-0.5,1,-2,2,430000,-2,281000,-0.5,1,459411,486976,399688,19817321,26,168,1
14354,2,0.5,-0.5,-2,0.5,-0.5,1,0.5,2,640000,0.5,418000,-0.5,1,632967,664615,588659,19788101,46,168,1
14355,2,2,-0.5,-2,0.5,-0.5,1,0.5,2,1300000,0.5,663965,-0.5,1,1259730,1335314,1196744,19795178,16,168,1
14356,2,0.5,-0.5,-2,0.5,-0.5,1,-2,2,375000,-2,246000,0.5,1,345144,372756,300275,19817322,26,169,1
14357,2,1.5,-0.5,-2,0.5,-0.5,1,0.5,2,880000,0.5,719374,-0.5,1,817032,906906,776180,19587402,52,169,0
14358,2,2,-0.5,-2,0.5,-0.5,1,1,2,1250000,1,955000,-0.5,1,1256353,1331734,1180972,19795227,16,169,1
14359,2,2,-0.5,-2,0.5,-0.5,1,1,2,1960000,1,302830,-0.5,1,2168840,2494166,1886891,19680307,1,169,0
14360,2,0.5,-0.5,-2,0.5,-0.5,1,-2,2,457001,-2,293000,0.5,1,437528,463780,398150,19672538,29,169,1
14361,2,0,-0.5,-2,0.5,-0.5,1,0.5,2,541000,0.5,166925,-0.5,1,515556,541334,474312,19840425,42,169,1
14362,2,0.5,-0.5,-2,0.5,-0.5,1,0.5,2,450000,0.5,285664,-0.5,1,623689,667347,586268,19791803,35,169,1
14363,2,1,-0.5,-2,0.5,-0.5,1,-2,2,715000,-2,494000,0.5,1,711231,753905,668557,19651217,42,169,1
14364,2,0.5,-0.5,-2,0.5,-0.5,1,0.5,2,767500,0.5,501000,-0.5,1,704151,760483,654860,19757333,54,169,1
14365,2,-0.5,-0.5,-2,0.5,-0.5,1,0.5,2,770000,0.5,593000,-0.5,1,768137,821907,714367,19681824,67,169,1
14366,2,1.5,-0.5,-2,0.5,-0.5,1,-0.5,2,551000,-0.5,374113,-0.5,1,642847,687846,597848,19794311,30,351,0
14367,2,0.5,-0.5,-2,0.5,-0.5,1,-2,2,435000,-2,274000,0.5,1,439344,461311,412983,19560224,30,169,1
14368,2,1.5,-0.5,-2,0.5,-0.5,1,0,2,830000,0,606000,-0.5,1,631271,688085,587082,54771169,13,3267,1
14369,2,1.5,-0.5,-2,0.5,-0.5,1,-1.5,2,540000,-1.5,354000,0.5,1,545298,578016,512580,69302197,9,169,0
14370,2,-0.5,-0.5,-2,0.5,-0.5,1,0.5,2,489000,0.5,347000,-0.5,1,486493,530277,432979,19575529,101,169,0
14371,2,1.5,-0.5,-2,0.5,-0.5,1,-0.5,2,866000,-0.5,549165,-0.5,1,856987,899836,779858,19698388,20,169,1
14372,2,0.5,-0.5,-2,0.5,-0.5,1,0.5,2,630000,0.5,470000,-0.5,1,582218,628795,529818,19756931,53,169,1
14373,2,0.5,-0.5,-2,0.5,-0.5,1,0.5,2,560000,0.5,268115,-0.5,1,533789,571154,501762,19734572,41,169,1
14374,2,-0.5,-0.5,-2,0.5,-0.5,1,0,2,779000,0,541000,-0.5,1,704569,782072,634112,19681654,78,169,1
14375,2,0.5,-0.5,-2,0.5,-0.5,1,-2,2,459000,-2,452000,0.5,1,461514,489205,433823,19800257,22,169,1
14376,2,0.5,-0.5,-2,0.5,-0.5,1,0.5,2,675000,0.5,162171,-0.5,1,677444,711316,630023,19828560,46,169,1
14377,2,1.5,-0.5,-2,0.5,-0.5,1,1,2,1292000,1,599388,-0.5,1,1397529,1621134,1257776,19835200,20,169,1
14378,2,0.5,-0.5,-2,0.5,-0.5,1,0.5,2,955000,0.5,366169,-0.5,1,960157,1008165,902548,19660571,54,169,1
14379,2,0.5,-0.5,-2,0.5,-0.5,1,0.5,2,585000,0.5,61574,-0.5,1,586514,615840,551323,19792843,43,169,1
14380,2,2,-0.5,-2,0.5,-0.5,1,-1.5,2,570000,-1.5,445000,1,1,580173,614983,539561,51074419,12,169,1
14381,2,0.5,-0.5,-2,0.5,-0.5,1,0.5,2,73000,0.5,204956,-0.5,1,657325,703338,624459,19694405,57,166,0
14382,2,0.5,-0.5,-2,0.5,-0.5,1,0.5,2,565000,0.5,58446,-0.5,1,554923,588218,521628,19485587,50,169,1
14383,2,0.5,-0.5,-2,0.5,-0.5,1,0.5,2,707000,0.5,110324,-0.5,1,696401,731221,640689,19675290,56,169,1
14384,2,1,-0.5,-2,0.5,-0.5,1,-0.5,2,900000,-0.5,710387,-0.5,1,853328,913061,785062,63065539,11,169,0
